id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18674,Rental unit in Barcelona · ★4.35 · 3 bedrooms · 6 beds · 2 baths,71615,Mireia And Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,210,1,35,2023-04-07,0.29,28,18,8,HUTB-002062
23197,Rental unit in Sant Adria de Besos · ★4.77 · 3 bedrooms · 4 beds · 2 baths,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.412906646728516,2.220633029937744,Entire home/apt,250,4,72,2023-05-29,0.48,2,185,13,HUTB005057
41952,Rental unit in Barcelona · ★4.35 · 2 bedrooms · 4 beds · 2 baths,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,172,3,66,2023-05-26,0.49,5,269,22,HUTB-003549
32711,Rental unit in Barcelona · ★4.43 · 2 bedrooms · 3 beds · 1.5 baths,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,186,2,91,2023-03-22,0.63,3,256,24,HUTB-001722
46153,Rental unit in Barcelona · ★4.20 · 2 bedrooms · 3 beds · 1 bath,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38956,2.17759,Entire home/apt,63,31,5,2022-07-31,0.03,2,176,1,Exempt
49968,Rental unit in Barcelona · ★4.56 · 2 bedrooms · 7 beds · 1 bath,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,203,1,76,2023-06-06,0.53,3,257,23,HUTB-001723
71520,Rental unit in Barcelona · 3 bedrooms · 5 beds · 3.5 baths,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,250,5,1,2011-06-23,0.01,1,57,0,HUTB-007966
71553,Rental unit in Barcelona · ★4.20 · 1 bedroom · 1 bed · 1.5 baths,366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,186,3,78,2023-05-06,0.52,4,136,11,HUTB-002424
71736,Rental unit in Barcelona · ★4.0 · 4 bedrooms · 5 beds · 1.5 baths,368317,Nacharosa,Ciutat Vella,el Raval,41.38174,2.16663,Entire home/apt,68,28,11,2016-07-14,0.07,7,344,0,
34981,Rental unit in Barcelona · ★4.52 · 4 bedrooms · 6 beds · 3 baths,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,460,5,205,2023-06-07,1.33,1,0,30,HUTB-150671
68547,Rental unit in Barcelona · ★4.74 · 1 bedroom · 2 beds · 2 baths,340570,Atún,Ciutat Vella,el Barri Gòtic,41.3806,2.17796,Private room,200,31,93,2021-08-10,0.63,2,289,0,
36763,Rental unit in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,30,31,105,2023-05-26,0.74,1,159,17,
330957,Rental unit in Barcelona · ★4.75 · 3 bedrooms · 4 beds · 1 bath,893805,Phil And Fiona,Eixample,la Dreta de l'Eixample,41.39782414629114,2.170576755958843,Entire home/apt,200,2,543,2023-06-04,3.96,13,265,69,HUTB-010749
72436,Serviced apartment in Barcelona · ★4.75 · 1 bedroom · 2 beds · 1 bath,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,287,1,696,2023-06-05,6.49,6,197,155,HUTB-000173
72793,Rental unit in Barcelona · 2 bedrooms · 2 beds · 1 bath,368317,Nacharosa,Ciutat Vella,el Raval,41.38104,2.16565,Entire home/apt,60,28,2,2014-08-27,0.02,7,344,0,
40983,Condo in Barcelona · ★4.37 · 1 bedroom · 2 beds · 1 bath,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,132,2,271,2023-05-25,1.86,6,116,43,HUTB-001282
72794,Rental unit in Barcelona · ★4.33 · 1 bedroom · 1 bed · 1.5 baths,368317,Nacharosa,Ciutat Vella,el Raval,41.38214,2.16568,Entire home/apt,65,28,8,2014-08-23,0.06,7,344,0,
73683,Rental unit in Barcelona · ★4.58 · 4 bedrooms · 14 beds · 2 baths,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,371,2,177,2023-05-23,1.21,3,250,13,HUTB-001723
331026,Rental unit in Barcelona · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,440881,Lee,Eixample,Sant Antoni,41.37793,2.15978,Private room,32,3,234,2023-06-06,1.72,1,244,36,
333190,Rental unit in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1.5 shared baths,1697782,Jóse,Eixample,el Fort Pienc,41.40131,2.18191,Private room,70,32,236,2023-01-31,1.76,2,33,8,
508212,Rental unit in Barcelona · ★4.87 · 2 bedrooms · 2 beds · 1 bath,2504689,Carolina,Eixample,l'Antiga Esquerra de l'Eixample,41.39161,2.15782,Entire home/apt,174,5,113,2023-05-30,0.85,2,28,38,HUTB-003831
75003,Rental unit in Barcelona · ★4.16 · 2 bedrooms · 3 beds · 1 bath,396363,Alcambarcelona,Eixample,la Sagrada Família,41.40399,2.17802,Entire home/apt,240,2,33,2023-06-05,0.22,116,188,9,HUTB-001363
510923,Rental unit in Barcelona · ★4.54 · 3 bedrooms · 3 beds · 2 baths,2517389,Sara,Sant Andreu,el Congrés i els Indians,41.42257,2.18047,Entire home/apt,145,7,26,2023-05-19,0.21,2,91,3,HUTB-008605
335861,Rental unit in Barcelona · ★4.12 · 2 bedrooms · 3 beds · 1 bath,1221038,Mar,Sant Martí,el Poblenou,41.40349,2.20414,Entire home/apt,185,1,100,2023-06-05,0.75,3,289,9,HUTB-007075
